Gene	name2	Chr	Strand	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	A_4_long_exp	A_4_short_exp	A_4_PDUI	A_5_long_exp	A_5_short_exp	A_5_PDUI	A_6_long_exp	A_6_short_exp	A_6_PDUI	A_7_long_exp	A_7_short_exp	A_7_PDUI	A_8_long_exp	A_8_short_exp	A_8_PDUI	A_9_long_exp	A_9_short_exp	A_9_PDUI	A_10_long_exp	A_10_short_exp	A_10_PDUI	A_11_long_exp	A_11_short_exp	A_11_PDUI	A_12_long_exp	A_12_short_exp	A_12_PDUI	A_13_long_exp	A_13_short_exp	A_13_PDUI	A_14_long_exp	A_14_short_exp	A_14_PDUI	A_15_long_exp	A_15_short_exp	A_15_PDUI	A_16_long_exp	A_16_short_exp	A_16_PDUI	A_17_long_exp	A_17_short_exp	A_17_PDUI	A_18_long_exp	A_18_short_exp	A_18_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	B_4_long_exp	B_4_short_exp	B_4_PDUI	B_5_long_exp	B_5_short_exp	B_5_PDUI	B_6_long_exp	B_6_short_exp	B_6_PDUI	B_7_long_exp	B_7_short_exp	B_7_PDUI	B_8_long_exp	B_8_short_exp	B_8_PDUI	B_9_long_exp	B_9_short_exp	B_9_PDUI	B_10_long_exp	B_10_short_exp	B_10_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
NM_001005525.2	Rsrc2	chr5	-	4826.7	123728968	chr5:123728426-123729356	41.58	39.72	0.51	56.74	75.13	0.43	51.24	60.61	0.46	37.09	33.51	0.53	NA	NA	NA	503.72	347.87	0.59	198.96	299.67	0.4	63.52	96.62	0.4	156.8	210.96	0.43	101	168.79	0.37	271.57	265.35	0.51	296.46	371.93	0.44	17.66	19.9	0.47	NA	NA	NA	NA	NA	NA	122.73	141.02	0.47	20.59	25.22	0.45	382.72	490.56	0.44	27.88	35.25	0.44	183.07	239.34	0.43	NA	NA	NA	17.2	22.23	0.44	NA	NA	NA	33.28	55.97	0.37	136.74	175.13	0.44	54.51	68.82	0.44	132.23	156.07	0.46	82.54	124.92	0.4	0.46	0.4275	0.0325	0.466752322	1	N
XM_011248233.2	Clip1	chr5	-	1630.4	123579301	chr5:123577795-123579502	35.81	66.26	0.35	56.63	84.65	0.4	39.7	10.59	0.79	27.24	49.58	0.35	NA	NA	NA	376.39	347.38	0.52	182.45	281.38	0.39	61.11	87.4	0.41	141.64	143.13	0.5	96.48	85.73	0.53	224.97	258.05	0.47	230.96	332.04	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	110.84	135.37	0.45	21.06	18.91	0.53	315.24	472.23	0.4	24.01	40.52	0.37	106.35	189.8	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.81	40.75	0.38	99.22	155.6	0.39	43.13	63.6	0.4	95.45	131.59	0.42	72.18	113.73	0.39	0.464285714	0.387142857	0.077142857	0.209818117	0.878623202	N
NM_019765.5	Clip1	chr5	-	1630.4	123579301	chr5:123577794-123579502	35.81	66.26	0.35	56.63	84.65	0.4	39.7	10.59	0.79	27.24	49.58	0.35	NA	NA	NA	376.39	347.38	0.52	182.45	281.38	0.39	61.11	87.4	0.41	141.64	143.13	0.5	96.48	85.73	0.53	224.97	258.05	0.47	230.96	332.04	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	110.84	135.37	0.45	21.06	18.91	0.53	315.24	472.23	0.4	24.01	40.52	0.37	106.35	189.8	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.81	40.75	0.38	99.22	155.6	0.39	43.13	63.6	0.4	95.45	131.59	0.42	72.18	113.73	0.39	0.464285714	0.387142857	0.077142857	0.209818117	0.878623202	N
NM_023232.3	Diablo	chr5	-	2123.2	123512223	chr5:123511969-123512707	36.35	39.41	0.48	75.14	54.21	0.58	42.16	48.52	0.46	34.18	24.75	0.58	NA	NA	NA	311.94	377.22	0.45	198.11	181.46	0.52	57.09	71.55	0.44	187.37	126.29	0.6	106.41	89.45	0.54	232.18	246.78	0.48	298.24	186.18	0.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	138.35	118.21	0.54	26.45	16.72	0.61	298.94	377.28	0.44	22.88	38.45	0.37	172.19	121.87	0.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.85	28.23	0.58	172.9	63.58	0.73	58.02	44.52	0.57	135.37	91.3	0.6	131.25	73.1	0.64	0.524285714	0.582857143	-0.058571429	0.032057692	0.324765949	N
XM_006530237.3	Setd1b	chr5	+	565.9	123166488	chr5:123165833-123168632	21.66	11.79	0.65	27.78	12.82	0.68	17.59	12.88	0.58	NA	NA	NA	NA	NA	NA	87.18	111.35	0.44	71.93	52.65	0.58	25.5	26.55	0.49	61.17	54.52	0.53	40.35	25.16	0.62	97.25	111.47	0.47	105.66	87.19	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.39	50.65	0.54	NA	NA	NA	145.46	132.46	0.52	NA	NA	NA	58.17	66.54	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.64	72.49	0.43	25.45	20.53	0.55	52.55	83.04	0.39	45	48.79	0.48	0.554166667	0.464	0.090166667	0.285390571	0.973250685	N
XM_006530238.3	Setd1b	chr5	+	565.8	123166488	chr5:123165833-123168630	21.65	11.8	0.65	27.78	12.82	0.68	17.59	12.88	0.58	NA	NA	NA	NA	NA	NA	87.18	111.35	0.44	71.91	52.67	0.58	25.5	26.55	0.49	61.16	54.53	0.53	40.32	25.19	0.62	97.24	111.49	0.47	105.63	87.22	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.36	50.69	0.54	NA	NA	NA	145.42	132.5	0.52	NA	NA	NA	58.17	66.55	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.6	72.53	0.43	25.45	20.53	0.55	52.53	83.06	0.39	44.98	48.81	0.48	0.554166667	0.464	0.090166667	0.285390571	0.973250685	N
NM_001003953.2	Kdm2b	chr5	-	4105.9	122871382	chr5:122870668-122871897	44.63	24.84	0.64	78.65	55.66	0.59	77.29	28.49	0.73	43.08	38.4	0.53	16.86	15.07	0.53	660.97	333.71	0.66	293.33	225.55	0.57	119.58	80.79	0.6	267.24	246.8	0.52	164.76	122.81	0.57	457.29	282.27	0.62	449.18	297.24	0.6	21.3	16.15	0.57	NA	NA	NA	NA	NA	NA	237.9	124.54	0.66	34.05	23.46	0.59	675.48	584.68	0.54	47.19	37.3	0.56	266.38	213.48	0.56	NA	NA	NA	28.71	16.2	0.64	15.35	15.85	0.49	56.91	53.23	0.52	186.87	111.29	0.63	102.1	90.97	0.53	244.14	179.14	0.58	156.11	119.15	0.57	0.595	0.564444444	0.030555556	0.604187548	1	N
XM_011248216.1	Kdm2b	chr5	-	4096.8	122871382	chr5:122870664-122871897	44.47	25	0.64	78.62	55.69	0.59	77.15	28.62	0.73	43.05	38.43	0.53	16.82	15.11	0.53	660.46	334.22	0.66	293.28	225.61	0.57	119.42	80.95	0.6	266.98	247.06	0.52	164.46	123.11	0.57	456.97	282.59	0.62	448.94	297.48	0.6	21.25	16.21	0.57	NA	NA	NA	NA	NA	NA	237.62	124.81	0.66	34.08	23.43	0.59	675.77	584.4	0.54	47.13	37.36	0.56	266.2	213.66	0.55	NA	NA	NA	28.7	16.2	0.64	15.3	15.91	0.49	56.88	53.25	0.52	186.36	111.8	0.63	102.04	91.03	0.53	243.86	179.42	0.58	155.83	119.42	0.57	0.595	0.563333333	0.031666667	0.60408442	1	N
XM_017321048.1	Anapc5	chr5	-	57021.4	122787817	chr5:122787719-122788018	97.8	186.29	0.34	114.53	217.62	0.34	96.94	158.76	0.38	58.38	116.25	0.33	27.76	48.2	0.37	618.95	1246.97	0.33	291.05	808.4	0.26	136.19	256.43	0.35	293.47	545.41	0.35	171.06	370.09	0.32	494.75	1150.52	0.3	465.71	900.5	0.34	29.82	58.52	0.34	11.58	30.81	0.27	14.74	23.22	0.39	239.42	531.8	0.31	49.83	88.04	0.36	622.65	1232.28	0.34	63.65	155.32	0.29	286.37	562.48	0.34	14.38	28.36	0.34	30.83	56.58	0.35	20.29	32.01	0.39	74.13	138.93	0.35	284.7	505.58	0.36	105.32	239.45	0.31	235.43	560.79	0.3	198.85	338.51	0.37	0.334444444	0.34	-0.005555556	0.785837891	1	N
NM_021505.3	Anapc5	chr5	-	33876.3	122787817	chr5:122787459-122788018	29.9	254.19	0.11	43.39	288.75	0.13	37.83	217.87	0.15	19.45	155.18	0.11	7.64	68.32	0.1	173.62	1692.3	0.09	139.53	959.92	0.13	43.95	348.67	0.11	108.19	730.69	0.13	61.11	480.04	0.11	185.21	1460.06	0.11	157.08	1209.12	0.11	10.77	77.57	0.12	3.34	39.05	0.08	4.72	33.24	0.12	91.83	679.39	0.12	18.63	119.25	0.14	219.35	1635.59	0.12	20.97	198	0.1	100.66	748.19	0.12	4.95	37.78	0.12	13.24	74.18	0.15	8.92	43.38	0.17	24.64	188.42	0.12	80.89	709.39	0.1	37.1	307.66	0.11	84.28	711.94	0.11	72.17	465.19	0.13	0.116111111	0.123	-0.006888889	1	1	N
XM_006530127.3	Ift81	chr5	-	3835.2	122550630	chr5:122550204-122551203	24.02	64.56	0.27	42.24	114.07	0.27	40.03	78.69	0.34	28.03	50.12	0.36	8.63	25.38	0.25	232.53	781.11	0.23	175.29	435.83	0.29	38.8	126.08	0.24	123.61	257.11	0.32	106.9	187.09	0.36	196.39	473.1	0.29	242.17	442.38	0.35	11.82	22.21	0.35	NA	NA	NA	NA	NA	NA	83.95	193.91	0.3	15.99	26.53	0.38	353.86	584.01	0.38	44.72	112.78	0.28	252.47	599.42	0.3	17.39	38.58	0.31	28.47	60.34	0.32	7.84	24.99	0.24	56.79	165.35	0.26	77.89	171.33	0.31	75.25	168.57	0.31	112.58	320.15	0.26	95.5	265.01	0.26	0.31125	0.285	0.02625	0.534763919	1	N
NM_001110140.3	Atp2a2	chr5	-	179001.3	122457177	chr5:122456324-122457426	674.98	567.89	0.54	1193.45	982.74	0.55	1050.42	417.67	0.72	598.97	382.44	0.61	238.87	180.32	0.57	7293.55	3671.19	0.67	4278.88	2820.83	0.6	1268.17	949.58	0.57	3646	2230.05	0.62	2336.11	1291.02	0.64	5996.12	4298.9	0.58	5952.43	3404.07	0.64	327.03	225.11	0.59	79.75	66.38	0.55	134.13	78.16	0.63	3013.76	1786.63	0.63	428.24	249.4	0.63	7579.17	5970.07	0.56	580.28	497.2	0.54	2630.69	1490.83	0.64	147.76	78.75	0.65	305.42	192.88	0.61	161.26	112.12	0.59	659.91	456.4	0.59	1378.55	734.13	0.65	1031.52	682.56	0.6	2145.32	1304.51	0.62	1203.77	808.61	0.6	0.605555556	0.609	-0.003444444	0.592376317	1	N
NR_027838.1	Atp2a2	chr5	-	15481.7	122453921	chr5:122453513-122454304	191.11	54.99	0.78	320.04	80.13	0.8	224.02	104.5	0.68	155.91	49.87	0.76	64.25	28.91	0.69	2285.07	509.12	0.82	1358.54	422.68	0.76	342.14	99.68	0.77	909.33	336.52	0.73	654.6	197.04	0.77	1621.55	634.42	0.72	1628.5	648.57	0.72	90.41	30.11	0.75	NA	NA	NA	32.81	13.25	0.71	802.95	207.56	0.79	112.84	37.75	0.75	2181.4	767.39	0.74	180.16	7.36	0.96	677.25	224.8	0.75	39.67	15.6	0.72	91.38	32.5	0.74	40.08	18.71	0.68	194.01	82.01	0.7	327.87	90.55	0.78	273.18	105.98	0.72	574.12	177.65	0.76	261.33	132.45	0.66	0.749411765	0.747	0.002411765	0.886053866	1	N
NM_019824.4	Arpc3	chr5	+	58133.3	122406070	chr5:122405869-122406181	6.37	117.24	0.05	7.82	204.7	0.04	5.08	119.58	0.04	2.91	97.69	0.03	1.36	43.9	0.03	30.27	1232.75	0.02	13.45	667.04	0.02	8.72	210.42	0.04	10.68	462.59	0.02	20.48	314.89	0.06	35.16	669.83	0.05	25.84	692.17	0.04	2.59	47.73	0.05	NA	NA	NA	NA	NA	NA	16.03	412.22	0.04	2.03	61.91	0.03	54.19	1076.11	0.05	4.74	147.99	0.03	37.41	891.74	0.04	1.75	40.56	0.04	4.54	40.42	0.1	3.47	42.42	0.08	6.74	113.26	0.06	74.27	1189.36	0.06	13.09	296.97	0.04	34.1	985.4	0.03	23.9	869.96	0.03	0.038125	0.051	-0.012875	0.731411526	1	N
XM_006530427.3	Vps29	chr5	+	1607.1	122363191	chr5:122362805-122364584	10.64	47.95	0.18	20.05	95.34	0.17	16.7	64.25	0.21	8.83	38.34	0.19	NA	NA	NA	128.52	444.64	0.22	68.77	229.89	0.23	20.7	74.25	0.22	44.76	190.43	0.19	29.76	118.55	0.2	70.08	294.31	0.19	70.38	316.04	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.91	209.24	0.14	7.16	24.96	0.22	103.97	412.05	0.2	9.76	39	0.2	56.24	240.61	0.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.53	47.71	0.22	33.06	205.01	0.14	13.76	78.75	0.15	45.59	200.87	0.18	29.29	134.02	0.18	0.195714286	0.18	0.015714286	0.598809032	1	N
NM_019780.1	Vps29	chr5	+	2670.5	122363006	chr5:122362805-122363287	57.02	2.97	0.95	92.06	45.03	0.67	58.93	42.41	0.58	35.09	23.3	0.6	NA	NA	NA	454.38	229.4	0.66	247.29	99.04	0.71	76.91	34.82	0.69	197.18	73.27	0.73	130.65	34.16	0.79	292.8	138.09	0.68	286.08	193.41	0.6	20.55	11.35	0.64	NA	NA	NA	NA	NA	NA	176.39	130.75	0.57	19.61	24.08	0.45	411.95	200.9	0.67	39.21	18.43	0.68	234.02	121.18	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.73	10.68	0.84	181.63	108.94	0.63	71.13	41.27	0.63	201.08	87.55	0.7	130.73	62.77	0.68	0.666	0.688571429	-0.022571429	1	1	N
XM_006530200.2	Ppp1cc	chr5	+	3487.2	122175181	chr5:122174980-122175273	50.2	43.59	0.54	68.02	79.88	0.46	61.44	38.99	0.61	33.03	41.62	0.44	15.88	20.93	0.43	545.72	396.13	0.58	206.16	351.55	0.37	66.6	92.75	0.42	203.96	225.74	0.47	114.33	109.75	0.51	232.52	340.75	0.41	336.1	281.39	0.54	17.75	24.36	0.42	NA	NA	NA	NA	NA	NA	188.96	150.69	0.56	27.77	34.77	0.44	399.16	441.9	0.47	32.09	59.28	0.35	221.09	280.36	0.44	15.59	16.12	0.49	17.24	22.87	0.43	14.78	16.39	0.47	57.16	39.6	0.59	341.05	349.57	0.49	66.85	114.84	0.37	241	305.84	0.44	204.84	251.52	0.45	0.479375	0.452	0.027375	0.409689934	1	N
NM_013636.3	Ppp1cc	chr5	+	2343.8	122174372	chr5:122174055-122175269	104.8	18.13	0.85	162.82	40.11	0.8	80.11	23.05	0.78	81.46	13.26	0.86	34.12	4.95	0.87	935.48	154.96	0.86	585.23	105.97	0.85	165.56	47.96	0.78	395.77	153.58	0.72	247.05	72.42	0.77	608.34	192.2	0.76	618.88	136.42	0.82	36.85	9.11	0.8	NA	NA	NA	NA	NA	NA	332.63	49.83	0.87	57.1	9.57	0.86	858.6	101.48	0.89	89.78	39.45	0.69	457.53	218.93	0.68	23.83	7.01	0.77	32.87	16.44	0.67	29.09	11.43	0.72	103.34	30.31	0.77	580.93	317.98	0.65	162.53	70.11	0.7	443.53	199.12	0.69	388.07	216.64	0.64	0.82125	0.698	0.12325	2.21E-06	8.34E-05	N
NM_001308450.1	Aldh2	chr5	-	749.8	121570550	chr5:121570316-121570761	109.04	0	1	112.25	0	1	63.05	5.44	0.92	78.68	1.11	0.99	42.25	1.96	0.96	719.55	0	1	378.24	9.2	0.98	154.94	0	1	278.77	0	1	208.62	0	1	509.78	0	1	538.52	0	1	43.74	0	1	32.83	0	1	NA	NA	NA	204.57	0	1	59.94	0	1	761.18	0	1	66.69	4.99	0.93	314.17	0	1	34.09	0	1	46.86	0	1	33.98	0	1	91.57	0	1	479.52	22.78	0.95	148.06	0	1	417.62	0	1	346.01	0	1	0.991176471	0.988	0.003176471	0.585076624	1	N
NM_009656.4	Aldh2	chr5	-	838.4	121567822	chr5:121566027-121568023	0.51	62.07	0.01	0.95	65.4	0.01	NA	NA	NA	3	40.31	0.07	NA	NA	NA	17.43	402.33	0.04	3.51	221.38	0.02	2.53	69	0.04	10.63	166.23	0.06	2.15	85.98	0.02	17.17	242.49	0.07	12.27	266.6	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.53	93.24	0.04	NA	NA	NA	10.06	308.62	0.03	0.29	53.76	0.01	3.21	164.5	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	34.73	0.01	4.01	277.8	0.01	0.5	68.09	0.01	5.77	265.32	0.02	1.69	159.11	0.01	0.0375	0.012857143	0.024642857	0.295888451	0.983124603	N
NM_026129.2	Erp29	chr5	-	6123.6	121444983	chr5:121444753-121445572	145.15	22.22	0.87	210.15	78.39	0.73	172.55	0	1	104.03	25.37	0.8	41.48	13.67	0.75	1125.94	310.16	0.78	675.99	160.02	0.81	245.78	28.71	0.9	480.09	17.99	0.96	304.48	66.61	0.82	890.64	176.44	0.83	827.33	82.98	0.91	65.18	1.25	0.98	NA	NA	NA	27.16	6.59	0.8	359.82	140.16	0.72	59.04	21.81	0.73	1224.43	157.52	0.89	137.52	30.65	0.82	598.96	236.28	0.72	32.02	18.17	0.64	54.72	17.97	0.75	54.24	20.6	0.72	134.59	26.03	0.84	906.32	90	0.91	311.97	47.38	0.87	708.76	185.35	0.79	708.6	185.46	0.79	0.84	0.785	0.055	0.226520233	0.90951618	N
NM_011290.5	Rpl6	chr5	+	289187.6	121208983	chr5:121208782-121209241	0	297.5	0	1.06	422.93	0	0	341.33	0	0.81	231.49	0	0.14	108.2	0	0	2583.73	0	15.24	1406.16	0.01	3.3	526.75	0.01	3.91	988.16	0	0	557.91	0	0	1572.93	0	5.69	1291.09	0	0.27	123.94	0	0	69.68	0	0.17	68.06	0	4.68	819.09	0.01	1.28	163.99	0.01	4.68	2272.12	0	0.46	343.02	0	4.31	1639.02	0	0.84	106.73	0.01	0	133.87	0	0	113.43	0	2.21	308.92	0.01	0.02	2476.85	0	6.47	644.43	0.01	6.24	1780.53	0	4.07	1709.26	0	0.002222222	0.003	-0.000777778	1	1	N
NM_011202.3	Ptpn11	chr5	-	12154.5	121131655	chr5:121130533-121134146	84.87	52.79	0.62	144.75	66.31	0.69	88.75	37.81	0.7	64.36	27.77	0.7	25.23	10.79	0.7	737.38	389.89	0.65	484.65	199.29	0.71	132.55	87.62	0.6	318.17	165.1	0.66	186.7	99.71	0.65	554.02	309.79	0.64	530.74	238.66	0.69	30.56	16.36	0.65	NA	NA	NA	NA	NA	NA	253.73	131.41	0.66	41.09	20.53	0.67	856.6	383.88	0.69	66.8	29.75	0.69	285.65	161.06	0.64	NA	NA	NA	22.84	21.25	0.52	21.17	11.13	0.66	69.41	46.17	0.6	242.96	94.01	0.72	101.19	69.42	0.59	248.48	131.55	0.65	182.57	125.47	0.59	0.6675	0.628888889	0.038611111	0.534264681	1	N
NM_028041.2	Ddx54	chr5	+	680.5	120627527	chr5:120627060-120628335	9.09	48.66	0.16	10.89	50.58	0.18	8.72	34.72	0.2	5.61	27.45	0.17	NA	NA	NA	49.61	284.81	0.15	32.29	176.4	0.15	15.54	49.07	0.24	29.7	101.67	0.23	13.82	78.67	0.15	45.06	207.32	0.18	56.07	200.9	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.48	92.37	0.17	NA	NA	NA	59.65	268.83	0.18	6.17	48.95	0.11	37.59	194.18	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.13	36.39	0.14	35.06	311.96	0.1	12.35	76.39	0.14	29.34	196.03	0.13	22.11	183.83	0.11	0.183076923	0.127142857	0.055934066	0.209517457	0.878623202	N
XR_878688.2	Ddx54	chr5	+	523.2	120627280	chr5:120627060-120627629	49.55	18.58	0.73	48.46	28.2	0.63	43.12	1.57	0.96	28.3	10.41	0.73	NA	NA	NA	303.3	74.17	0.8	167.39	92.91	0.64	61.15	7.49	0.89	108.86	50.18	0.68	91.8	3.41	0.96	226.11	62.42	0.78	216.44	87.17	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	104.05	17.28	0.86	18.07	14.35	0.56	313.34	37.36	0.89	46.01	20.24	0.69	196.68	77.03	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.78	10.91	0.78	293.47	118.66	0.71	84.02	11.83	0.88	229.49	0	1	186.29	44.59	0.81	0.772857143	0.798571429	-0.025714286	0.795801612	1	N
NM_172721.2	Fbxw8	chr5	-	1689.3	118066717	chr5:118064981-118068229	5.12	53.09	0.09	9.07	77.2	0.11	6.97	43.63	0.14	4.4	38.51	0.1	NA	NA	NA	51.94	429.93	0.11	30.19	224.67	0.12	10.82	74	0.13	24.35	185.84	0.12	18.44	114.89	0.14	48.86	316.28	0.13	27.95	276.66	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.66	154.21	0.1	2.66	28.32	0.09	42.62	441.63	0.09	6.66	45.19	0.13	17.32	211.12	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.91	50.39	0.12	22.12	174.6	0.11	10.24	87.66	0.1	34.07	198.75	0.15	15.75	149.7	0.1	0.111428571	0.112857143	-0.001428571	1	1	N
NM_145564.3	Fbxo21	chr5	+	6019.5	118008211	chr5:118008010-118010191	108.2	31	0.78	144.45	60.73	0.7	104.95	39.77	0.73	77.29	26.8	0.74	28.61	7.63	0.79	734.32	262.46	0.74	424.34	165.15	0.72	159.38	31.17	0.84	390.13	199.96	0.66	224.57	80.17	0.74	634.8	123.41	0.84	524.55	129.27	0.8	36.24	14.95	0.71	NA	NA	NA	NA	NA	NA	379.85	131.14	0.74	56.47	19.52	0.74	923.4	530.98	0.63	66	13.38	0.83	272.65	110.98	0.71	NA	NA	NA	28.06	9.41	0.75	NA	NA	NA	77.94	26.88	0.74	170.41	37.65	0.82	113.95	31.05	0.79	249.51	78.56	0.76	128.17	64.59	0.66	0.74375	0.7575	-0.01375	0.617922567	1	N
XM_006530297.2	Fbxo21	chr5	+	6373.7	118008211	chr5:118008010-118010012	107.84	31.37	0.77	143	62.18	0.7	105.98	38.74	0.73	76.78	27.31	0.74	28.35	7.88	0.78	730.75	266.04	0.73	424.17	165.32	0.72	159.03	31.52	0.83	396.61	193.48	0.67	225.67	79.07	0.74	645.7	112.5	0.85	524.44	129.39	0.8	36.45	14.74	0.71	NA	NA	NA	NA	NA	NA	379.03	131.96	0.74	57.36	18.63	0.75	923.7	530.67	0.64	65.97	13.41	0.83	273.98	109.65	0.71	NA	NA	NA	28.12	9.34	0.75	NA	NA	NA	77.8	27.02	0.74	170.63	37.42	0.82	115.11	29.88	0.79	249.14	78.94	0.76	128.71	64.05	0.67	0.74375	0.75875	-0.015	0.61831556	1	N
NM_021539.4	Wsb2	chr5	+	14630.2	117377591	chr5:117377390-117378589	211.38	66.92	0.76	327.13	145.75	0.69	197.46	51.79	0.79	153.78	53.56	0.74	66.21	14.24	0.82	1870.76	946.13	0.66	1004.64	476.34	0.68	336.95	160.59	0.68	721.55	281.17	0.72	471.56	109.3	0.81	1198.81	406.57	0.75	1079.22	495.49	0.69	70.32	21.41	0.77	26.26	10.93	0.71	27.92	10.31	0.73	600.07	199.07	0.75	105.98	32.06	0.77	1599.68	650.84	0.71	128.9	52.22	0.71	586.44	221.72	0.73	32.14	11.32	0.74	61.62	17.97	0.77	37.48	18.72	0.67	156.48	84.83	0.65	443.15	178.29	0.71	249.55	93.01	0.73	517.57	199.94	0.72	391.87	155.82	0.72	0.735	0.715	0.02	0.833889385	1	N
NM_018858.2	Pebp1	chr5	-	70821.7	117282894	chr5:117282651-117283465	553.6	76.7	0.88	1085.13	15.83	0.99	737.93	0	1	533.35	0	1	211.96	5.46	0.97	5828.38	0	1	3680.67	0	1	1349.34	0	1	2434.7	0	1	1519.6	0	1	3937.85	78.24	0.98	3372.02	251.62	0.93	238.07	0	1	76.72	6.25	0.92	91.51	4.09	0.96	2254.95	0	1	358.3	0	1	6102.27	0	1	529.84	0	1	2305.84	77.52	0.97	111.27	3.69	0.97	235.02	0.28	1	148.12	0	1	619.56	42.99	0.94	1408.35	30.56	0.98	769.84	37.37	0.95	1787.29	48.4	0.97	1346.51	0	1	0.979444444	0.978	0.001444444	0.013340617	0.172778019	N
XM_011248219.2	Taok3	chr5	+	3103	117274477	chr5:117273673-117275101	26.09	17.31	0.6	46.39	19.45	0.7	38.88	8.1	0.83	27.37	9.93	0.73	NA	NA	NA	291.65	67.29	0.81	141.35	76.8	0.65	54.74	30.31	0.64	157.81	9.25	0.94	108.86	39.46	0.73	173.23	84.4	0.67	216.36	28.7	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	107.59	27.25	0.8	NA	NA	NA	249.04	152.03	0.62	26.1	13.43	0.66	147.47	47.89	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.64	10.75	0.76	121.55	17.8	0.87	47.43	27.23	0.64	141.25	10.92	0.93	84.09	41.97	0.67	0.738461538	0.754285714	-0.015824176	0.567089474	1	N
XM_011248220.2	Taok3	chr5	+	3121.6	117273874	chr5:117273673-117274374	35.2	21.38	0.62	55.51	20.4	0.73	34.27	28.5	0.55	32.34	8.06	0.8	NA	NA	NA	333.02	70.2	0.83	185.94	31.62	0.85	69.66	27.71	0.72	114.72	84.26	0.58	128.01	35.1	0.78	232.16	27.59	0.89	211.96	24.77	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.15	45.11	0.69	NA	NA	NA	363.75	14.39	0.96	31.2	16.63	0.65	157.57	43.92	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.37	3.89	0.92	112.16	37.19	0.75	66.54	13.35	0.83	117.85	53.7	0.69	89.15	52.91	0.63	0.761538462	0.75	0.011538462	0.149721436	0.752101587	N
NM_178622.5	Suds3	chr5	-	6214.2	117092566	chr5:117091678-117093031	59.57	43.62	0.58	96.17	69.22	0.58	54	43.45	0.55	46.76	40.49	0.54	18.92	18.09	0.51	520.97	370.41	0.58	288.9	213.53	0.58	83.35	95.09	0.47	204.83	169.18	0.55	117.1	138.25	0.46	319.73	311.89	0.51	306.1	325.29	0.48	20.65	18.53	0.53	NA	NA	NA	NA	NA	NA	177.31	161.6	0.52	29.89	31.43	0.49	472.61	354.06	0.57	42.85	47.27	0.48	202.14	185.51	0.52	NA	NA	NA	18.15	13.31	0.58	NA	NA	NA	40.71	52.67	0.44	181.77	172.17	0.51	74.95	70.8	0.51	172.43	138.07	0.56	134.47	143.27	0.48	0.53125	0.51	0.02125	0.595173106	1	N
NM_001122666.2	Suds3	chr5	-	6412	117092569	chr5:117091678-117092856	60.14	48.29	0.55	96.81	77.08	0.56	54.38	34.28	0.61	47.83	42.03	0.53	19.22	18.94	0.5	526.01	433.17	0.55	294.96	251.49	0.54	84.36	107.04	0.44	212.05	202.7	0.51	119.86	167.74	0.42	326.19	338.18	0.49	310.66	333.22	0.48	20.93	20.84	0.5	NA	NA	NA	NA	NA	NA	180.42	185.65	0.49	30.06	31.95	0.48	480.66	397.89	0.55	43.6	48.11	0.48	205.18	200.74	0.51	NA	NA	NA	18.81	15.42	0.55	NA	NA	NA	43.1	58.21	0.43	186.3	185.41	0.5	75.48	78.16	0.49	176.8	141.11	0.56	137.3	168.38	0.45	0.5125	0.49625	0.01625	0.730670244	1	N
